15.23,20.36
27.26,18.49
37.85,49.34
43.55,44.45
45.38,52.15
46.01,52.12
45.95,57.82
47.16,56.16
47.57,51.99
46.80,53.17
46.60,49.54
48.26,60.77
48.61,54.02
48.34,57.28
49.43,60.54
49.39,57.01
48.41,61.66
49.43,63.76
48.34,60.57
50.63,61.69
49.31,60.94
50.44,66.30
48.27,60.81
50.16,64.07
49.89,58.23
50.86,59.82
49.73,60.71
50.15,57.82
51.05,62.20
49.86,65.39
50.64,61.28
50.78,61.72
50.58,58.70
50.54,59.21
49.69,63.25
50.56,61.83
50.83,63.39
51.20,57.72
50.37,61.76
50.31,62.88
50.57,64.61
50.34,62.20
50.69,59.45
51.26,61.79
51.32,60.88
51.14,63.56
50.52,60.84
51.09,58.94
49.97,57.99
51.55,61.08
