19.67,48.39
52.37,59.59
58.58,62.71
60.12,61.49
61.26,66.78
61.56,66.78
61.56,62.95
62.35,64.64
61.97,69.36
62.04,70.38
63.11,65.83
63.44,62.03
63.19,70.55
63.68,63.35
62.88,64.44
63.45,67.76
64.64,66.41
63.75,70.27
64.55,63.83
64.68,63.86
64.79,66.64
65.57,70.82
64.47,59.69
64.00,68.65
65.07,60.67
64.09,71.19
65.26,66.07
64.66,67.22
66.04,63.56
64.46,71.26
65.47,71.12
65.59,65.97
66.09,60.03
65.55,69.63
65.66,69.26
66.24,63.83
65.91,71.26
65.98,67.46
65.44,70.89
65.89,71.43
66.24,63.22
66.05,65.86
66.69,70.38
66.93,72.45
67.04,65.63
67.45,71.60
66.08,68.20
66.66,74.52
67.48,65.29
67.79,71.97
