13.97,16.83
22.13,14.25
30.44,30.06
34.37,36.51
38.15,56.77
40.71,52.46
41.46,53.24
43.06,50.97
43.12,54.43
43.55,53.92
43.68,50.80
44.60,52.94
44.23,50.97
43.70,58.16
45.36,55.11
45.21,55.07
44.27,58.13
44.52,53.38
45.50,58.13
44.89,56.36
44.55,57.82
44.89,55.34
44.49,52.46
45.13,60.03
44.95,57.14
46.00,57.65
43.78,50.59
45.01,53.34
45.59,53.31
45.17,54.63
45.51,53.34
45.70,52.97
45.73,58.26
46.15,59.72
46.23,52.36
46.31,60.16
46.04,56.50
45.27,55.31
45.24,55.34
45.73,57.45
45.53,60.06
45.96,60.06
46.23,60.06
45.97,58.94
46.71,57.21
46.86,61.32
45.99,58.91
46.04,54.33
45.09,57.21
46.76,56.12
