14.54,16.86
25.72,14.25
33.08,38.14
39.39,41.81
42.36,51.61
43.47,49.13
43.38,55.85
45.36,58.19
45.32,52.02
45.10,52.56
44.80,49.54
46.65,59.69
46.00,51.48
45.16,57.48
47.09,56.87
47.02,53.55
45.78,59.08
46.08,54.43
46.14,57.62
47.43,61.11
46.61,60.37
47.78,61.45
46.10,57.24
47.44,63.18
47.32,54.84
48.03,58.91
46.33,54.26
47.05,56.60
48.08,58.16
47.16,56.80
47.85,58.43
48.20,60.47
47.20,58.60
47.61,60.33
47.37,55.14
47.69,62.47
48.22,60.33
47.58,56.46
47.48,59.21
47.12,61.93
47.47,62.44
47.44,61.42
47.95,59.59
47.97,59.31
48.30,58.98
47.91,60.88
48.07,59.79
48.04,57.21
47.67,57.45
48.74,60.43
