14.87,17.17
26.25,15.13
35.79,44.72
41.81,43.37
43.93,50.83
44.74,49.71
44.45,57.96
46.03,56.60
46.27,51.68
45.91,52.46
45.31,49.58
47.24,59.72
47.01,52.97
46.60,57.82
47.74,59.82
48.37,56.06
46.41,61.35
47.32,59.62
47.55,59.28
48.88,60.94
47.84,61.69
49.08,65.29
46.89,60.71
48.76,64.17
48.39,57.18
49.39,59.48
47.95,59.35
48.68,58.81
49.54,62.40
48.37,63.28
48.88,59.62
48.99,62.71
48.91,58.87
48.79,59.96
48.08,61.08
48.80,61.35
49.28,62.81
49.37,57.45
48.90,59.99
48.48,64.37
48.60,63.25
48.63,62.95
49.52,61.35
49.36,61.05
49.51,59.65
49.56,63.18
49.31,61.45
49.25,58.33
48.80,58.13
50.12,62.10
