31.91,50.90
59.70,63.35
67.25,67.66
70.18,69.80
72.92,69.80
74.86,74.14
76.70,74.72
77.23,72.51
77.72,77.06
80.62,76.18
81.23,76.89
82.92,75.74
83.01,79.50
85.72,72.41
86.38,82.76
88.29,84.46
89.47,83.17
88.57,82.29
90.30,85.04
89.91,84.49
90.97,86.60
91.97,85.82
92.33,85.27
91.51,86.26
92.19,86.36
92.42,86.70
92.27,83.98
91.85,86.36
92.86,87.72
93.01,89.62
93.99,88.29
93.73,86.39
93.44,85.99
93.62,87.82
93.92,86.22
94.02,85.37
94.29,87.95
94.48,88.19
94.42,89.14
93.95,87.00
94.40,87.78
94.25,87.44
94.33,86.87
93.92,86.90
94.56,85.37
94.34,87.89
94.70,87.75
94.83,88.43
95.12,88.67
95.23,88.29
